,eef_x,eef_y,eef_z,object_x,object_y,object_z,diff_x,diff_y,diff_z,diff_obj_x,diff_obj_y,diff_obj_z,sum_x,sum_y,sum_z
194,1.4642987492814619,-0.6471795757043629,1.4303528307307702,1.4577180173157915,-0.6496807380701782,1.4267776660188838,-0.006580731965670328,-0.0025011623658153237,-0.0035751647118864582,0.0024495802523316623,-0.0006924970158314059,-0.0024798610346592476,0.0663738311751616,0.38022839408958053,0.15871741813635865
195,1.467128798613764,-0.6474961970161142,1.4278741180750611,1.4605221072859491,-0.6499422971485154,1.4242905700447785,-0.006606691327814884,-0.0024461001324012077,-0.0035835480302826017,0.002804089970157575,-0.0002615590783371369,-0.0024870959741052356,0.06917792114531918,0.38048995316791767,0.16120451411046388
196,1.4701513362867835,-0.6477178927993117,1.4251404922324198,1.4635138134029273,-0.650113610457452,1.4215624644183762,-0.006637522883856217,-0.002395717658140284,-0.003578027814043594,0.0029917061169781878,-0.0001713133089366048,-0.002728105626402355,0.07216962726229736,0.3806612664768543,0.16393261973686624
197,1.4735557028857564,-0.647902250910347,1.421483798005142,1.466822948392183,-0.6502385393302246,1.4179206563594644,-0.006732754493573356,-0.0023362884198775413,-0.0035631416456776144,0.0033091349892557798,-0.00012492887277260056,-0.0036418080589117885,0.07547876225155314,0.3807861953496269,0.16757442779577802
198,1.4774947126633915,-0.6479694881621192,1.4163753913234431,1.4706677066676404,-0.6502821883992138,1.4128823708433909,-0.006827005995751145,-0.0023127002370946226,-0.003493020480052289,0.0038447582754572718,-4.3649068989237705e-05,-0.0050382855160735485,0.07932352052701042,0.3808298444186161,0.17261271331185157
199,1.4819393741540319,-0.6479220944579234,1.4105939703066717,1.4750230500617407,-0.6502216533408258,1.4072030488157228,-0.006916324092291148,-0.0022995588829024527,-0.003390921490948884,0.004355343394100375,6.053505838798934e-05,-0.005679322027668077,0.08367886392111079,0.3808903794770041,0.17829203533951965
200,1.4864705178173323,-0.647845857780706,1.4046956533567196,1.4794794444691077,-0.6501436799071556,1.4014118636248267,-0.006991073348224575,-0.002297822126449578,-0.0032837897318929166,0.004456394407367004,7.79734336702198e-05,-0.005791185190896053,0.0881352583284778,0.3809683529106743,0.1840832205304157
201,1.490699558532206,-0.6477441654055359,1.3992236761859222,1.4836401659822342,-0.6500337572227389,1.3960316685842198,-0.007059392549971788,-0.002289591817203007,-0.0031920076017024623,0.00416072151312652,0.00010992268441667452,-0.005380195040606939,0.09229597984160431,0.381078275595091,0.18946341557102264
202,1.4943460038177,-0.6476329039670101,1.3939091692278485,1.4872207381292417,-0.6499204142798191,1.39080122489262,-0.007125265688458393,-0.002287510312808938,-0.0031079443352284297,0.003580572147007466,0.00011334294291986957,-0.005230443691599751,0.09587655198861178,0.38119161853801087,0.1946938592626224
203,1.497688773432778,-0.6475171196653713,1.3884956277891431,1.4905029675799149,-0.6498062971845898,1.3854696928335661,-0.007185805852863103,-0.0022891775192185326,-0.0030259349555770143,0.0032822294506731353,0.00011411709522923807,-0.005331532059053901,0.09915878143928492,0.3813057356332401,0.2000253913216763
204,1.5009147537309258,-0.6473967860403688,1.3830819334518734,1.4936651323127312,-0.6496804682655882,1.3801307453637564,-0.0072496214181945184,-0.0022836822252194633,-0.002951188088117007,0.003162164732816386,0.00012582891900159154,-0.005338947469809785,0.1023209461721013,0.3814315645522417,0.20536433879148608
